"TouristSpotId","Name","Address","SourceTitle","ImageUrl","SourcePageUrl","ImageStatus","ImageType","PageStatus","NameInPage","LocalityInPage"
"30523","운곡서원","경상북도 경주시 강동면 사라길 79-13","운곡서원> 여행지 :대한민국 구석구석 운곡서원> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7489fc92-132c-4917-b8ca-bb1efdbc9b0c","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=16f48a36-2d81-419c-bd6d-845e4874d61f","200","image/jpeg","200","True","True"
"34108","양구전쟁기념관","강원특별자치도 양구군 해안면 해안서화로 35","양구전쟁기념관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3179122-c645-4fa2-83e2-8a60f94fa55d","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=16a5d138-a634-47d1-9d28-08f78c1249f6","200","image/jpeg","200","True","False"
"38581","영일민속박물관","경상북도 포항시 북구 흥해읍 한동로 51","영일민속박물관> 여행지 :대한민국 구석구석 영일민속박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c40bebe-1cab-4914-83ae-1b3aad93e636","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0782ae60-6462-48e8-973c-0012645d8b97","200","image/jpeg","200","True","False"
"39157","영인산산림박물관","충청남도 아산시 염치읍 아산온천로 16-30","(인쇄용) 영인산산림박물관 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab0538a3-8c45-4465-95b4-6cf17cc0af94","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=a836a544-7e9f-4b4f-9a53-67eef0bdcfd7","200","image/jpeg","200","True","False"
"40058","안회당과 여하정","충청남도 홍성군 홍성읍 아문길 27","(인쇄용) 안회당과 여하정 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0455bed-1cae-47cc-9f8c-210bb6dd1da0","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=cc3a4d7f-7017-4366-b142-39a76e00017b","200","image/jpeg","200","True","False"
"40061","최영장군 사당","충청남도 홍성군 홍북읍 대인리 산39-7","최영장군 사당> 여행지 :대한민국 구석구석 최영장군 사당> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d393615-8ebb-4f44-bf76-90ffde362c12","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a7d8be9e-1bad-4b61-85cf-95660c08aa47","200","image/jpeg","200","True","False"
"43268","예끼마을","경상북도 안동시 도산면 선성길 14","(인쇄용) 예끼마을 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2978b67c-5b43-431d-87bb-8204dd0ca364","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=6986daf3-599e-45a5-9be6-19344b9928c7","200","image/jpeg","200","True","False"
"44576","태장동왕녀복란태실비","강원특별자치도 원주시 태장동","태장동왕녀복란태실비, 왕가의 장수를 비는 뜻으로 태를 묻는 곳 - 콕콕! 지역정보 | 구석구석 떠나볼까 | 대한민국구석구석","http://tong.visitkorea.or.kr/cms/resource/27/2414727_image2_1.jpg","http://korean.visitkorea.or.kr/kor/bz15/tp/content/view.jsp?cid=2405827","0","","0","False","False"
"46047","영월화석박물관","강원특별자치도 영월군 주천면 평창강로 139","영월화석박물관> 여행지 :대한민국 구석구석 영월화석박물관> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=20750f7b-f954-41c0-b5a8-4b57938775f7","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6d60fce2-3745-4c1a-8425-c3debe4bd5fb","200","image/jpeg","200","True","False"
"46304","용암정(안동)","경상북도 안동시 도산면 서부리","용암정(안동)> 여행지 :대한민국 구석구석 용암정(안동)> 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04ff79f2-b839-42c3-964e-1ebfb478e585","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2b536876-8883-4d20-83da-3f01bbf606ff","200","image/jpeg","200","True","False"
"46375","명탄서원","충청남도 공주시 명탄서원길 48","(인쇄용) 명탄서원 | 대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12f803bb-5402-4747-8847-098426ec862b","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=4735e4ca-e0e7-4f61-a7a1-abdf86499add","200","image/jpeg","200","True","False"
"46944","철원 농산물검사소","강원특별자치도 철원군 철원읍 외촌리 620-1","철원 농산물검사소 > 여행지 :대한민국 구석구석 철원 농산물검사소 > 여행지 :대한민국 구석구석","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=769473eb-04ef-4fb8-b165-eeb7a290e792","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d79fae3e-1eb9-428b-aadb-f7408cfbc045","200","image/jpeg","200","True","False"
