"TouristSpotId","TourApiContentId","Name","Address","Status","ImageUrl","SourcePageUrl","SourceTitle","ProviderHost","HttpStatus","ContentType","VerifiedAt","Notes"
"26990","1956335","반산서원","충청남도 부여군 임천면 충절로1001번길 28","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/11/3349311_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=31672","반산서원 (2026) - 충청남도 부여군 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"27025","250396","서울 의릉(경종·선의왕후) [유네스코 세계유산]","서울특별시 성북구 화랑로32길 146-20 (석관동)","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/57/2848157_image2_1.jpg","https://www.koreatriptips.com/location.html?mapX=127.0018422980&mapY=37.5247984033&page=4","서울 의릉(경종,선의왕후) [유네스코 세계문화유산] - 주변 여행 및 근처 관광 명소 - 국내 여행 정보와 관광 명소 정보","www.koreatriptips.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 140"
"27068","126912","봉천동 마애미륵불좌상","서울특별시 관악구 낙성대로15길 56-39","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/59/3526759_image2_1.JPG","https://www.korearank.com/tour/tour_detail.php?uid=33872","봉천동 마애미륵불좌상 (2026) - 서울특별시 관악구 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"27121","913710","염의서원","전북특별자치도 군산시 옥산면 염의서원길 156-9","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/78/1976078_image2_1.jpg","https://www.korearank.com/tour/tour_detail.php?uid=26231","염의서원 (2026) - 전북특별자치도 군산시 가볼만한곳 - 관광지랭킹","www.korearank.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 160"
"27199","1940446","킴스아트필드미술관","부산광역시 금정구 죽전1길 29","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27236","1958266","방산서원(영주)","경상북도 영주시 이산면 영봉로329번길 143-5","APPROVED_TOURAPI_INDEX","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e82f6de3-82a3-4ed7-b8f5-cdf3aa0514a7","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e5d051ae-d3c6-4b91-b074-2af100e42921","방산서원(영주)> 여행지 :대한민국 구석구석 방산서원(영주)> 여행지 :대한민국 구석구석","korean.visitkorea.or.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27306","1621637","충의당","경상북도 경주시 내남면 이조3길 28-17","APPROVED_OFFICIAL_WEB","https://www.gyeongju.go.kr/upload/content/thumb/20191222/F2154BEE0ACE4AAFA93808EB535C764F.jpg","https://www.gyeongju.go.kr/tour/page.do?mnu_uid=4819&con_uid=449&cmd=2","충의당 | 한옥호텔 | 숙박 | 경주에 머물다 | 경주문화관광 경주문화관광","www.gyeongju.go.kr","206","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27412","1954348","홍천향교","강원특별자치도 홍천군 홍천읍 석화로 101-14","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27492","127902","합미성(장수)","전북특별자치도 장수군 장수읍 용계리 산110-1번지 일원","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/12/3520712_image2_1.jpg","http://www.koreatriptips.com/location.html?mapX=127.5441871386&mapY=35.6253259956&page=3","합미성(장수) - 주변 여행 및 근처 관광 명소 - 국내 여행 정보와 관광 명소 정보","www.koreatriptips.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 140"
"27623","3043911","성북선잠박물관","서울특별시 성북구 성북로 96 (성북동)","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
