"TouristSpotId","Name","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Provider","Attribution","VerifiedAt","Notes"
"27991","함양향교","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef050412-5df8-4885-b824-4994b1c8166f","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2c4781a6-99c8-406b-bb61-3952b1e778be","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 함양향교> 여행지 :대한민국 구석구석 함양향교> 여행지 :대한민국 구석구석"
"28180","거제민속박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3a5e3893-8f90-450f-9e96-46364ea9e2cb","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2ba25e4-a9fa-4bc5-a94e-4482f6fd464e","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 거제민속박물관> 여행지 :대한민국 구석구석 거제민속박물관> 여행지 :대한민국 구석구석"
"28208","라디오스타박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1693fe7-1d98-477e-a80e-63eb74484f56","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d474b290-099c-4d88-8ce6-d52196e14746","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 라디오스타박물관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석"
"28384","송호서원(합천)","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aef31c9e-ba63-4bf5-8f84-564730a04cde","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8d78a7b8-f963-4039-9d14-51a59ef4cc6d","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 송호서원> 여행지 :대한민국 구석구석 송호서원> 여행지 :대한민국 구석구석"
"28635","성마루미술관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6c7d24f-5369-4e17-b7b2-e772e0266c1b","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=9ee42217-c2c0-4e1d-b8e2-4f8f2a08cca5","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 성마루미술관 | 대한민국 구석구석"
"29016","명성산성(울음산성)","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c4450313-44ad-44cb-a442-8ba1ddeac0bc","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=f14461fd-4d2b-4faf-b55e-ca06290e2669","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 명성산성(울음산성) | 대한민국 구석구석"
"29705","조은숙아트앤라이프스타일","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=493f25c8-5a65-461d-8b42-858fade2c7df","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=47d7fed3-d7ae-43a9-a3aa-0546b7370956","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 조은숙아트앤라이프스타일> 여행지 :대한민국 구석구석 조은숙아트앤라이프스타일> 여행지 :대한민국 구석구석"
"30150","금산 백령성","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba23dd47-19fb-49ad-8713-b890a66aafbe","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1beb007e-f1f8-4fff-97c8-4ee9244684e5","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 금산 백령성 | 대한민국 구석구석"
"30155","제천 청풍향교","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b82e9472-62bf-434d-80d1-6b4ca8a26c03","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=1e7104f8-626f-4cee-ac92-1cf6909f5b3e","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 제천 청풍향교 | 대한민국 구석구석"
"30523","운곡서원","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7489fc92-132c-4917-b8ca-bb1efdbc9b0c","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=16f48a36-2d81-419c-bd6d-845e4874d61f","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 운곡서원> 여행지 :대한민국 구석구석 운곡서원> 여행지 :대한민국 구석구석"
