"TouristSpotId","TourApiContentId","Name","Address","Status","Provider","ProviderItemName","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Attribution","ImageDescription","HttpStatus","ContentType","VerifiedAt","Notes"
"24753","250394","행주서원","경기도 고양시 덕양구 행주산성로 127-17 (행주외동)","APPROVED","국가유산청 국가유산포털","행주서원지","https://www.khs.go.kr/unisearch/images/cultural_material/1660079.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000710000000&ccbaCtcd=31&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","강당","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 90; 검색어 '행주서원'; imageNuri=A"
"24790","753964","순명비 유강원 석물","서울특별시 광진구 능동","APPROVED","국가유산청 국가유산포털","순명비 유강원 석물","https://www.khs.go.kr/unisearch/images/tangible_cult_prop/2590171.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0001340000000&ccbaCtcd=11&ccbaKdcd=21&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","순명비 유강원 석물","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '순명비 유강원 석물'; imageNuri=A"
"24822","1612615","모명재","대구광역시 수성구 달구벌대로525길 14-23 (만촌동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"24872","2551494","홍주성역사관","충청남도 홍성군 홍성읍 아문길 20","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"25029","3079415","홍주천년기념탑","충청남도 홍성군 홍성읍 옥암리","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","공식·공개 라이선스 이미지 후보를 확인하지 못함"
"25161","126897","강릉 대공산성","강원특별자치도 강릉시 성산면 보현길 396","APPROVED","국가유산청 국가유산포털","강릉대공산성","https://www.khs.go.kr/unisearch/images/monument/1647864.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000280000000&ccbaCtcd=32&ccbaKdcd=23&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","대공산성","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '강릉 대공산성'; imageNuri=A"
"25181","128759","강릉 수리골 고택","강원특별자치도 강릉시 운정길 125","APPROVED","국가유산청 국가유산포털","강릉 수리골 고택","https://www.khs.go.kr/unisearch/images/tangible_cult_prop/1638057.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000790000000&ccbaCtcd=32&ccbaKdcd=21&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","심상진가옥","206","image/jpg","2026-09-15","이름·소재지 자동 대조 점수 130; 검색어 '강릉 수리골 고택'; imageNuri=A; 재시도에서 HTTP 206 image/jpg 확인"
"25284","1955169","함창향교","경상북도 상주시 함창읍 무운로 1557-4","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"25471","1954183","양근향교","경기도 양평군 옥천면 향교길 45","APPROVED","국가유산청 국가유산포털","양근향교","https://www.khs.go.kr/unisearch/images/cultural_material/1659918.jpg","https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaAsno=0000190000000&ccbaCtcd=31&ccbaKdcd=31&pageNo=1_1_1_0","KHS_IMAGE_NURI_A","https://www.heritage.go.kr/heri/html/HtmlPage.do?pageNo=1_5_1_0","출처: 국가유산청 국가유산포털","서재","206","image/jpg","2026-09-15","오류 재시도 완료; 공식 명칭·시군구·이미지 응답 확인"
"25530","1337616","태백 고생대 자연사박물관","강원특별자치도 태백시 태백로 2249 (동점동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"25741","127657","화석정","경기도 파주시 파평면 화석정로 152-72","APPROVED_REHOST_REQUIRED","Openverse/wikimedia","화석정","https://upload.wikimedia.org/wikipedia/commons/0/0f/%ED%99%94%EC%84%9D%EC%A0%95.jpg","https://commons.wikimedia.org/w/index.php?curid=51441973","BY-SA","https://creativecommons.org/licenses/by-sa/4.0/","작가: Cuhullin; 원문과 라이선스 재확인 필요","화석정","429","text/html","2026-09-15","Wikimedia Commons 원문 API에서 장소 설명·작가·라이선스 확인. CDN 핫링크 대신 자체 저장 필요"
"25766","130685","자유수호평화박물관","경기도 동두천시 평화로2910번길 96-63","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26487","1959820","상봉서원","경상남도 함안군 칠원읍 유원1길 32","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26488","1959891","예강서원","경상남도 김해시 진례면 진례로311번길 107","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26515","2669992","산청 이사재","경상남도 산청군 단성면 상동길 77","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26516","2701896","평창지동봉가옥","강원특별자치도 평창군 평창읍 천동길 160","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26674","1578586","모리재","경상남도 거창군 북상면 강선대길 96-326","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26723","2773288","롯데뮤지엄","서울특별시 송파구 올림픽로 300 (신천동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26775","2993536","기기국 번사창","서울특별시 종로구 삼청로 118 (삼청동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26778","3017254","부산 연산동 고분군","부산광역시 연제구 연산동","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","Openverse 조회 오류: The request was canceled due to the configured HttpClient.Timeout of 25 seconds elapsing."
"26841","3076682","성북구립 최만린미술관","서울특별시 성북구 솔샘로7길 23 (정릉동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26881","129821","경남대학교 박물관","경상남도 창원시 마산합포구 경남대학로 7","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"26990","1956335","반산서원","충청남도 부여군 임천면 충절로1001번길 28","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27025","250396","서울 의릉(경종·선의왕후) [유네스코 세계유산]","서울특별시 성북구 화랑로32길 146-20 (석관동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
